index,Spielzeit,Datum,Stück,Autor,Regie,Musik,Bühnenbild,Kostüme,Choreographie,Ortsvermerk,Aufführungsvermerk,SpeziellerAnlass,id,Tag,Nr_Spielzeit,DuplicateDate,Nr_Stück,Neujahr
452,1955_1956,11/30/1955,Die Heiratsvermittlerin,"Wilder, Thornton","Haugk, Dietrich",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1955_195611/30/1955Die Heiratsvermittlerin,1955-11-30,18,False,9,False
453,1955_1956,12/22/1955,Der zerbrochene Krug,"Kleist, Heinrich von","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1955_195612/22/1955Der zerbrochene Krug,1955-12-22,18,True,10,False
454,1955_1956,12/22/1955,Ein Heiratsantrag,"Tschechow, Anton","Lindtberg, Leopold",0,"Otto, Teo",0,0,Grosse Bühne,0,0,1955_195612/22/1955Ein Heiratsantrag,1955-12-22,18,True,11,False
455,1955_1956,12/26/1955,Candida,"Shaw, George Bernard","Ammann, Lukas",0,0,0,0,Theater am Central,0,0,1955_195612/26/1955Candida,1955-12-26,18,False,12,False
456,1955_1956,12/31/1955,Änebach-Dänebach oder E vergratni Zürifahrt,"Lesch, Walter","Wälterlin, Oskar","Langnese, Rolf","Meyer, Hannes","Schmid, Elisabeth",0,Grosse Bühne,0,0,1955_195612/31/1955Änebach-Dänebach oder E vergratni Zürifahrt,1955-12-31,18,False,13,True
457,1955_1956,01/07/1956,Wilhelm Tell,"Schiller, Friedrich von","Kraft, Alexander",0,"Röthlisberger, Max",0,0,Grosse Bühne,0,0,1955_195601/07/1956Wilhelm Tell,1956-01-07,18,False,14,False
458,1955_1956,01/21/1956,Spiel im Schloss,"Molnar, Franz","Biberti, Leopold",0,0,0,0,Theater am Central,0,0,1955_195601/21/1956Spiel im Schloss,1956-01-21,18,False,15,False
459,1955_1956,01/29/1956,Der Besuch der alten Dame,"Dürrenmatt, Friedrich","Wälterlin, Oskar",0,"Otto, Teo",0,0,Grosse Bühne,Uraufführung,0,1955_195601/29/1956Der Besuch der alten Dame,1956-01-29,18,False,16,False
460,1955_1956,02/11/1956,Der eingebildete Kranke,"Molière, Jean Baptiste","Düggelin, Werner",0,"Meyer, Hannes",0,0,Grosse Bühne,0,0,1955_195602/11/1956Der eingebildete Kranke,1956-02-11,18,False,17,False
461,1955_1956,03/01/1956,Die liebe Familie,"Douglas, Felicity","Jaray, Hans",0,"Krumenacher, Fritz",0,0,Theater am Central,0,0,1955_195603/01/1956Die liebe Familie,1956-03-01,18,True,18,False
